Operations,Size,Naive Time,NumPy Time,Speedup
Add,6,1.4699995517730713e-05s,2.5999965146183968e-05s,2.0x
Sub,3,1.4599994756281376e-05s,0.0005261999904178083s,36.0x
Add,3,1.3300043065100908e-05s,5.909998435527086e-05s,4.0x
Sub,6,1.7000013031065464e-05s,0.0005750000127591193s,34.0x
Multiplication,3,9.199953638017178e-06s,2.7600035537034273e-05s,3.0x
Multiplication,8,1.7600017599761486e-05s,0.00015789997996762395s,9.0x
Division,8,1.769996015354991e-05s,3.220001235604286e-05s,1.0x
Division,3,1.109996810555458e-05s,2.95999925583601e-05s,3.0x
Matrix Multiplication,4,2.0700041204690933e-05s,0.0006435000104829669s,31.0x
Matrix Multiplication,8,6.3000014051795e-05s,2.2499996703118086e-05s,3.0x
Dot Product,2,8.90000956133008e-06s,2.500001573935151e-05s,3.0x
Dot Product,8,7.03000114299357e-05s,1.5199999324977398e-05s,5.0x
Transpose,8,1.4299992471933365e-05s,9.699957445263863e-06s,1.0x
Dot Product,4,2.640002639964223e-05s,1.8000020645558834e-05s,1.0x
Vector Norm,3,1.4899997040629387e-05s,0.001025600009597838s,69.0x
