First_Array,Second_Array,Native_Output,Numpy_Output
"[[1, 2, 3], [1, 2, 3]]","[[1, 2, 3], [1, 2, 3]]","[[2, 4, 6], [2, 4, 6]]","[[2 4 6]
 [2 4 6]]"
"[1, 2, 3]","[1, 2, 3]","[0, 0, 0]",[0 0 0]
"[1, 2, 3]","[1, 2, 3]","[2, 4, 6]",[2 4 6]
"[[1, 2, 3], [1, 2, 3]]","[[1, 2, 3], [1, 2, 3]]","[[0, 0, 0], [0, 0, 0]]","[[0 0 0]
 [0 0 0]]"
"[1, 2, 3]","[1, 2, 3]","[1, 4, 9]",[1 4 9]
"[[[1, 2], [1, 2]], [[1, 2], [1, 2]]]","[[[1, 2], [1, 2]], [[1, 2], [1, 2]]]","[[[1, 4], [1, 4]], [[1, 4], [1, 4]]]","[[[1 4]
  [1 4]]

 [[1 4]
  [1 4]]]"
"[[[1, 2], [1, 2]], [[1, 2], [1, 2]]]","[[[1, 2], [1, 2]], [[1, 2], [1, 2]]]","[[[1.0, 1.0], [1.0, 1.0]], [[1.0, 1.0], [1.0, 1.0]]]","[[[1. 1.]
  [1. 1.]]

 [[1. 1.]
  [1. 1.]]]"
"[1, 2, 3]","[1, 2, 3]","[1.0, 1.0, 1.0]",[1. 1. 1.]
"[[1, 2], [1, 2]]","[[1, 2], [1, 2]]","[[3, 6], [3, 6]]","[[3 6]
 [3 6]]"
"[[[1, 2], [1, 2]], [[1, 2], [1, 2]]]","[[[1, 2], [1, 2]], [[1, 2], [1, 2]]]","[[[3, 6], [3, 6]], [[3, 6], [3, 6]]]","[[[3 6]
  [3 6]]

 [[3 6]
  [3 6]]]"
"[1, 2]","[1, 2]",5,5
"[[[1, 2], [1, 2]], [[1, 2], [1, 2]]]","[[[1, 2], [1, 2]], [[1, 2], [1, 2]]]","[[[3, 6], [3, 6]], [[3, 6], [3, 6]]]","[[[[3 6]
   [3 6]]

  [[3 6]
   [3 6]]]


 [[[3 6]
   [3 6]]

  [[3 6]
   [3 6]]]]"
"[[1, 2], [1, 2]]","[[1, 2], [12, 1]]","[[25, 4], [25, 4]]","[[25  4]
 [25  4]]"
